"Year","Date","Elevation","Nest","Nest.type","ID","Blood.ID","Mass..g.","AS.Right..mm.","AS.Left..mm.","Notes","RFID","OLD_RFID","P_sex"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13016","LF1001",12.27,12,12,NA,"0700EE3386","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13017","LF1002",12.91,12,13,NA,"0700EE28B9","","M"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13017","LF1002",12.91,12,13,NA,"0700EE3386","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13018","LF1003",12.02,14.5,15,NA,"0700EE28B9","","M"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13018","LF1003",12.02,14.5,15,NA,"0700EE3386","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13019","LF1004",11.23,9.5,9,"Least developed of brood.","0700EE28B9","","M"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13019","LF1004",11.23,9.5,9,"Least developed of brood.","0700EE3386","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13020","LF1005",12.86,15,16,NA,"0700EE28B9","","M"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13020","LF1005",12.86,15,16,NA,"0700EE3386","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13021","LF1006",12.59,14,14,NA,"0700EE28B9","","M"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13021","LF1006",12.59,14,14,NA,"0700EE3386","","F"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13022","LF1007",11.96,14,13,NA,"0700EE28B9","","M"
2018,"Mon Jun 18 00:00:00 PDT 2018","L","29-6L","INITIAL","2820-13022","LF1007",11.96,14,13,NA,"0700EE3386","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13023","LF1008",13.89,21,20,NA,"0700EE3CB7","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13023","LF1008",13.89,21,20,NA,"0700ED9109","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13024","LF1009",12.61,16,19.5,NA,"0700EE3CB7","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13024","LF1009",12.61,16,19.5,NA,"0700ED9109","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13025","LF1010",12.25,13,13,NA,"0700EE3CB7","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13025","LF1010",12.25,13,13,NA,"0700ED9109","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13026","LF1011",11.92,15,17,NA,"0700EE3CB7","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13026","LF1011",11.92,15,17,NA,"0700ED9109","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13027","LF1012",13.62,20,19,NA,"0700EE3CB7","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13027","LF1012",13.62,20,19,NA,"0700ED9109","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13028","LF1013",12.79,17,16,NA,"0700EE3CB7","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","39-3L","INITIAL","2820-13028","LF1013",12.79,17,16,NA,"0700ED9109","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13029","LF1014",10.81,11,12,NA,"0700EE05D4","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13029","LF1014",10.81,11,12,NA,"0700EDED2A","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13030","LF1015",10.49,15,14,"Some evidence of ectoparasites","0700EE05D4","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13030","LF1015",10.49,15,14,"Some evidence of ectoparasites","0700EDED2A","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13031","LF1016",10.85,14,15,"Some evidence of ectoparasites","0700EE05D4","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13031","LF1016",10.85,14,15,"Some evidence of ectoparasites","0700EDED2A","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13032","LF1017",12.19,14,16,NA,"0700EE05D4","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13032","LF1017",12.19,14,16,NA,"0700EDED2A","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13033","LF1018",11.44,15,15,NA,"0700EE05D4","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13033","LF1018",11.44,15,15,NA,"0700EDED2A","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13034","LF1019",11.78,15,16,NA,"0700EE05D4","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13034","LF1019",11.78,15,16,NA,"0700EDED2A","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13035","LF1020",12.02,16,16,NA,"0700EE05D4","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13035","LF1020",12.02,16,16,NA,"0700EDED2A","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13036","LF1021",11.46,16,16,NA,"0700EE05D4","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","32-1AL","INITIAL","2820-13036","LF1021",11.46,16,16,NA,"0700EDED2A","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","28L","INITIAL","2820-13037","LF1022",13.89,22,22,NA,"0700EDEA14","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","28L","INITIAL","2820-13037","LF1022",13.89,22,22,NA,"0700EE04B3","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","28L","INITIAL","2820-13038","LF1023",13.72,20,21,NA,"0700EDEA14","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","28L","INITIAL","2820-13038","LF1023",13.72,20,21,NA,"0700EE04B3","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","28L","INITIAL","2820-13039","LF1024",14.16,20,19,NA,"0700EDEA14","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","28L","INITIAL","2820-13039","LF1024",14.16,20,19,NA,"0700EE04B3","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","28L","INITIAL","2820-13040","LF1025",13.69,19,19,NA,"0700EDEA14","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","28L","INITIAL","2820-13040","LF1025",13.69,19,19,NA,"0700EE04B3","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","28L","INITIAL","2820-13041","LF1026",14.41,18,18,NA,"0700EDEA14","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","28L","INITIAL","2820-13041","LF1026",14.41,18,18,NA,"0700EE04B3","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13042","LF1027",12.88,20,20,NA,"0700EE1664","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13042","LF1027",12.88,20,20,NA,"0700EDD1FB","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13043","LF1028",13.67,16,17,NA,"0700EE1664","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13043","LF1028",13.67,16,17,NA,"0700EDD1FB","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13044","LF1029",13.51,19,18,NA,"0700EE1664","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13044","LF1029",13.51,19,18,NA,"0700EDD1FB","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13045","LF1030",11.91,14,16,NA,"0700EE1664","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13045","LF1030",11.91,14,16,NA,"0700EDD1FB","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13046","LF1031",12.65,NA,NA,"Blood in tail, unmeasured","0700EE1664","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13046","LF1031",12.65,NA,NA,"Blood in tail, unmeasured","0700EDD1FB","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13047","LF1032",11.62,21,20,NA,"0700EE1664","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13047","LF1032",11.62,21,20,NA,"0700EDD1FB","","F"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13048","LF1033",11.46,16,16,NA,"0700EE1664","","M"
2018,"Tue Jun 19 00:00:00 PDT 2018","L","9L","INITIAL","2820-13048","LF1033",11.46,16,16,NA,"0700EDD1FB","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13049","LF1034",13.35,21,20,NA,"0700EDD85C","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13049","LF1034",13.35,21,20,NA,"0700EE378F","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13050","LF1035",11.7,17.5,18,NA,"0700EDD85C","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13050","LF1035",11.7,17.5,18,NA,"0700EE378F","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13051","LF1036",13.2,20,19,NA,"0700EDD85C","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13051","LF1036",13.2,20,19,NA,"0700EE378F","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13052","LF1037",12.63,19,19,NA,"0700EDD85C","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13052","LF1037",12.63,19,19,NA,"0700EE378F","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13053","LF1038",12.6,17,18,NA,"0700EDD85C","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13053","LF1038",12.6,17,18,NA,"0700EE378F","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13054","LF1039",12.76,20,21,NA,"0700EDD85C","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13054","LF1039",12.76,20,21,NA,"0700EE378F","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13055","LF1040",12.57,21,20,NA,"0700EDD85C","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13055","LF1040",12.57,21,20,NA,"0700EE378F","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13056","LF1041",11.69,21,20.5,NA,"0700EDD85C","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","51L","INITIAL","2820-13056","LF1041",11.69,21,20.5,NA,"0700EE378F","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13057","LF1042",12.99,16,15,NA,"0700EDF91A","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13057","LF1042",12.99,16,15,NA,"0700EDFF49","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13058","LF1043",12.51,16,17,NA,"0700EDF91A","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13058","LF1043",12.51,16,17,NA,"0700EDFF49","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13059","LF1044",12.27,16,13,NA,"0700EDF91A","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13059","LF1044",12.27,16,13,NA,"0700EDFF49","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13060","LF1045",11.87,16,15,NA,"0700EDF91A","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13060","LF1045",11.87,16,15,NA,"0700EDFF49","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13061","LF1046",13.39,15,14.5,NA,"0700EDF91A","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13061","LF1046",13.39,15,14.5,NA,"0700EDFF49","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13062","LF1047",13.13,13,13,NA,"0700EDF91A","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13062","LF1047",13.13,13,13,NA,"0700EDFF49","","F"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13063","LF1048",13.15,12,12,NA,"0700EDF91A","","M"
2018,"Wed Jun 20 00:00:00 PDT 2018","L","39-2L","INITIAL","2820-13063","LF1048",13.15,12,12,NA,"0700EDFF49","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13064","LF1049",11.04,12,12,"Parasites in bag.","0700EDA00F","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13064","LF1049",11.04,12,12,"Parasites in bag.","0700EE01A3","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13065","LF1050",10.68,14,14,"Parasites in bag.","0700EDA00F","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13065","LF1050",10.68,14,14,"Parasites in bag.","0700EE01A3","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13066","LF1051",11.17,11,12,"Parasites in bag.","0700EDA00F","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13066","LF1051",11.17,11,12,"Parasites in bag.","0700EE01A3","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13067","LF1052",11.11,9,8,"Parasites in bag.","0700EDA00F","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13067","LF1052",11.11,9,8,"Parasites in bag.","0700EE01A3","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13068","LF1053",11.31,10,10.5,"Parasites in bag.","0700EDA00F","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13068","LF1053",11.31,10,10.5,"Parasites in bag.","0700EE01A3","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13069","LF1054",12.61,11,11.5,"Parasites in bag. Mobile parasite on chick.","0700EDA00F","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13069","LF1054",12.61,11,11.5,"Parasites in bag. Mobile parasite on chick.","0700EE01A3","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13070","LF1055",11.85,13,12,"Parasites in bag.","0700EDA00F","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13070","LF1055",11.85,13,12,"Parasites in bag.","0700EE01A3","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13071","LF1056",11.26,5.5,6,"Parasites in bag.","0700EDA00F","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","78L","INITIAL","2820-13071","LF1056",11.26,5.5,6,"Parasites in bag.","0700EE01A3","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13072","LF1057",12.24,19,19,NA,"0300030FD8","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13072","LF1057",12.24,19,19,NA,"0700EE048B","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13073","LF1058",12.02,19,21,NA,"0300030FD8","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13073","LF1058",12.02,19,21,NA,"0700EE048B","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13074","LF1059",11.53,21,20.5,NA,"0300030FD8","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13074","LF1059",11.53,21,20.5,NA,"0700EE048B","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13075","LF1060",12.63,20,20,NA,"0300030FD8","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13075","LF1060",12.63,20,20,NA,"0700EE048B","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13076","LF1061",12.34,18,17,NA,"0300030FD8","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13076","LF1061",12.34,18,17,NA,"0700EE048B","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13077","LF1062",12.4,20,21,NA,"0300030FD8","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","16L","INITIAL","2820-13077","LF1062",12.4,20,21,NA,"0700EE048B","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13078","LF1063",11.41,16,14.5,NA,"0700EE00D6","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13078","LF1063",11.41,16,14.5,NA,"0700EE251E","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13079","LF1064",14.53,29,18,NA,"0700EE00D6","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13079","LF1064",14.53,29,18,NA,"0700EE251E","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13080","LF1065",13.92,27,16,NA,"0700EE00D6","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13080","LF1065",13.92,27,16,NA,"0700EE251E","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13081","LF1066",12.52,25,16,NA,"0700EE00D6","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13081","LF1066",12.52,25,16,NA,"0700EE251E","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13082","LF1067",12.47,25.5,15,NA,"0700EE00D6","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13082","LF1067",12.47,25.5,15,NA,"0700EE251E","","F"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13083","LF1068",12.93,16,15,NA,"0700EE00D6","","M"
2018,"Thu Jun 21 00:00:00 PDT 2018","L","8L","INITIAL","2820-13083","LF1068",12.93,16,15,NA,"0700EE251E","","F"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","76L","INITIAL","2820-13084","LF1069",12.52,18,18,NA,"0700EE0441","","M"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","76L","INITIAL","2820-13084","LF1069",12.52,18,18,NA,"0700EDF81A","","F"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","76L","INITIAL","2820-13085","LF1070",12.09,19.5,17,NA,"0700EE0441","","M"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","76L","INITIAL","2820-13085","LF1070",12.09,19.5,17,NA,"0700EDF81A","","F"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","76L","INITIAL","2820-13086","LF1071",11.57,19,18,NA,"0700EE0441","","M"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","76L","INITIAL","2820-13086","LF1071",11.57,19,18,NA,"0700EDF81A","","F"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","76L","INITIAL","2820-13087","LF1072",12.05,17,16,NA,"0700EE0441","","M"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","76L","INITIAL","2820-13087","LF1072",12.05,17,16,NA,"0700EDF81A","","F"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","76L","INITIAL","2820-13088","LF1073",12.32,17,18,NA,"0700EE0441","","M"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","76L","INITIAL","2820-13088","LF1073",12.32,17,18,NA,"0700EDF81A","","F"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","53-1L","INITIAL","2820-13089","LF1074",11.14,14,15,NA,"0700EDD698","","M"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","53-1L","INITIAL","2820-13089","LF1074",11.14,14,15,NA,"0700ED8EAF","","F"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","53-1L","INITIAL","2820-13090","LF1075",10.75,10,11,NA,"0700EDD698","","M"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","53-1L","INITIAL","2820-13090","LF1075",10.75,10,11,NA,"0700ED8EAF","","F"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","53-1L","INITIAL","2820-13091","LF1076",10.95,10,10,NA,"0700EDD698","","M"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","53-1L","INITIAL","2820-13091","LF1076",10.95,10,10,NA,"0700ED8EAF","","F"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","53-1L","INITIAL","2820-13092","LF1077",11.46,13,11,NA,"0700EDD698","","M"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","53-1L","INITIAL","2820-13092","LF1077",11.46,13,11,NA,"0700ED8EAF","","F"
2018,"Fri Jun 22 00:00:00 PDT 2018","L","53-1L","INITIAL","2820-13093","LF1078",10.87,10,11,NA,"0700EDD698","","M"
